customer_country,txn_timestamp_quarter,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
ITA,1,158.56499999999994,34,139.12,-0.7923362760196486,44.4,532.01,22.2,0.6716634960753647,153.15763045364886,155.46088195972953,155.46088195972953,5391.209999999998,23457.259766176467,24168.085819696964,24168.085819696964
CAN,1,1375.8014285714285,14,2949.28,-0.9761637231555484,80.0,2949.28,45.3,0.3131018699927731,919.6150319551977,954.3296196392937,954.3296196392937,19261.219999999998,845691.8069979592,910745.0229208791,910745.0229208791
CHN,2,155.05,1,155.05,NaN,155.05,155.05,155.05,NaN,0.0,NaN,NaN,155.05,0.0,NaN,NaN
FRA,1,4131.233333333334,3,8345.2,-1.5000000000000002,2002.5,8345.2,2002.5,0.7069937623766334,2979.7773253867294,3649.466997156343,3649.466997156343,12393.7,8879072.908888891,1.3318609363333337E7,1.3318609363333337E7
ITA,2,898.23,2,1693.88,-1.9999999999999996,102.58,1693.88,102.58,0.0,795.6500000000001,1125.2190209021533,1125.2190209021533,1796.46,633058.9225000001,1266117.8450000002,1266117.8450000002
CAN,2,495.0,1,495.0,NaN,495.0,495.0,495.0,NaN,0.0,NaN,NaN,495.0,0.0,NaN,NaN
