priority,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
low,156.96542857142853,35,139.12,-0.7148465421075509,102.58,532.01,22.2,0.707866178018013,151.24167984374935,153.44970437444653,153.44970437444653,5493.789999999998,22874.04572195918,23546.811772605037,23546.811772605037
high,1317.081333333333,15,495.0,-0.9315600267470572,80.0,2949.28,45.3,0.42979977530980695,915.1967260566927,947.3186110119044,947.3186110119044,19756.219999999998,837585.047384889,897412.5507695238,897412.5507695238
medium,2848.5260000000003,5,1693.88,0.0013396558245855061,2002.5,8345.2,155.05,1.2639998635076402,2834.1225585185975,3168.645348706605,3168.645348706605,14242.630000000001,8032250.676704003,1.0040313345880004E7,1.0040313345880004E7
