debit_credit,txn_timestamp_quarter,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
Debit,2,102.58,1,102.58,NaN,102.58,102.58,102.58,NaN,0.0,NaN,NaN,102.58,0.0,NaN,NaN
Credit,1,662.8693749999999,48,139.12,21.47867331886433,2002.5,8345.2,22.2,4.303536163659012,1316.5485854267563,1330.480704473461,1330.480704473461,31817.729999999996,1733300.1777891929,1770178.904976197,1770178.904976197
Debit,1,1742.8,3,2199.12,-1.4999999999999993,80.0,2949.28,80.0,-0.5103796436666791,1215.006964698831,1488.0735487199547,1488.0735487199547,5228.4,1476241.9242666664,2214362.8863999997,2214362.8863999997
Credit,2,781.3100000000001,3,1693.88,-1.4999999999999996,495.0,1693.88,155.05,0.5690446052079687,660.0401524654897,808.3807916446309,808.3807916446309,2343.9300000000003,435653.00286666676,653479.5043000001,653479.5043000001
