debit_credit,start_ts_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
Debit,20,1742.8,3,2199.12,-1.4999999999999993,80.0,2949.28,80.0,-0.5103796436666791,1215.006964698831,1488.0735487199547,1488.0735487199547,5228.4,1476241.9242666664,2214362.8863999997,2214362.8863999997
Credit,20,1210.6516666666666,12,495.0,-0.19340196853063496,2000.0,2949.28,45.3,0.7139574552157186,788.2159973196152,823.2647592010874,823.2647592010874,14527.82,621284.4584305556,677764.8637424243,677764.8637424243
Credit,8,155.05,1,155.05,NaN,155.05,155.05,155.05,NaN,0.0,NaN,NaN,155.05,0.0,NaN,NaN
Credit,1,158.56499999999994,34,139.12,-0.7923362760196486,44.4,532.01,22.2,0.6716634960753647,153.15763045364886,155.46088195972953,155.46088195972953,5391.209999999998,23457.259766176467,24168.085819696964,24168.085819696964
Credit,27,1693.88,1,1693.88,NaN,1693.88,1693.88,1693.88,NaN,0.0,NaN,NaN,1693.88,0.0,NaN,NaN
Credit,7,4131.233333333334,3,8345.2,-1.5000000000000002,2002.5,8345.2,2002.5,0.7069937623766334,2979.7773253867294,3649.466997156343,3649.466997156343,12393.7,8879072.908888891,1.3318609363333337E7,1.3318609363333337E7
Debit,1,102.58,1,102.58,NaN,102.58,102.58,102.58,NaN,0.0,NaN,NaN,102.58,0.0,NaN,NaN
