debit_credit,start_ts_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
Credit,3,1210.6516666666666,12,495.0,-0.19340196853063496,2000.0,2949.28,45.3,0.7139574552157186,788.2159973196152,823.2647592010874,823.2647592010874,14527.82,621284.4584305556,677764.8637424243,677764.8637424243
Credit,5,1693.88,1,1693.88,NaN,1693.88,1693.88,1693.88,NaN,0.0,NaN,NaN,1693.88,0.0,NaN,NaN
Debit,4,102.58,1,102.58,NaN,102.58,102.58,102.58,NaN,0.0,NaN,NaN,102.58,0.0,NaN,NaN
Credit,4,480.67324324324323,37,139.12,25.213840003282453,2002.5,8345.2,22.2,5.00813385257967,1384.686118840079,1403.7861399840833,1403.7861399840833,17784.91,1917355.647708401,1970615.5268114123,1970615.5268114123
Debit,3,1742.8,3,2199.12,-1.4999999999999993,80.0,2949.28,80.0,-0.5103796436666791,1215.006964698831,1488.0735487199547,1488.0735487199547,5228.4,1476241.9242666664,2214362.8863999997,2214362.8863999997
Credit,2,155.05,1,155.05,NaN,155.05,155.05,155.05,NaN,0.0,NaN,NaN,155.05,0.0,NaN,NaN
