debit_credit,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
Credit,669.8364705882352,51,139.12,22.101494040328145,2002.5,8345.2,22.2,4.3230149626565835,1287.5343248876957,1300.3459272513967,1300.3459272513967,34161.659999999996,1657744.637764014,1690899.5305192946,1690899.5305192946
Debit,1332.745,4,102.58,-1.8309856464493048,80.0,2949.28,80.0,0.1279333393546713,1269.494683830933,1465.8861948891758,1465.8861948891758,5330.98,1611616.752275,2148822.336366667,2148822.336366667
