customer_country,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
FRA,4131.233333333334,3,8345.2,-1.5000000000000002,2002.5,8345.2,2002.5,0.7069937623766334,2979.7773253867294,3649.466997156343,3649.466997156343,12393.7,8879072.908888891,1.3318609363333337E7,1.3318609363333337E7
ITA,199.65749999999994,36,139.12,15.844726124214443,102.58,1693.88,22.2,3.6510280609241663,293.3088973474798,297.4695150515427,297.4695150515427,7187.669999999998,86030.10926319443,88488.112385,88488.112385
CAN,1317.081333333333,15,495.0,-0.9315600267470572,80.0,2949.28,45.3,0.42979977530980695,915.1967260566927,947.3186110119044,947.3186110119044,19756.219999999998,837585.047384889,897412.5507695238,897412.5507695238
CHN,155.05,1,155.05,NaN,155.05,155.05,155.05,NaN,0.0,NaN,NaN,155.05,0.0,NaN,NaN
