txn_id,sourceTimestamp_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
58818,28,350.0,1,350.0,NaN,350.0,350.0,350.0,NaN,0.0,NaN,NaN,350.0,0.0,NaN,NaN
58933,28,221.25,1,221.25,NaN,221.25,221.25,221.25,NaN,0.0,NaN,NaN,221.25,0.0,NaN,NaN
59078,28,146.92,1,146.92,NaN,146.92,146.92,146.92,NaN,0.0,NaN,NaN,146.92,0.0,NaN,NaN
59154,28,301.82,1,301.82,NaN,301.82,301.82,301.82,NaN,0.0,NaN,NaN,301.82,0.0,NaN,NaN
59199,28,244.5,1,244.5,NaN,244.5,244.5,244.5,NaN,0.0,NaN,NaN,244.5,0.0,NaN,NaN
59392,28,113.62,1,113.62,NaN,113.62,113.62,113.62,NaN,0.0,NaN,NaN,113.62,0.0,NaN,NaN
59681,28,1357.63,1,1357.63,NaN,1357.63,1357.63,1357.63,NaN,0.0,NaN,NaN,1357.63,0.0,NaN,NaN
59809,28,129.09,1,129.09,NaN,129.09,129.09,129.09,NaN,0.0,NaN,NaN,129.09,0.0,NaN,NaN
60647,28,312.6,1,312.6,NaN,312.6,312.6,312.6,NaN,0.0,NaN,NaN,312.6,0.0,NaN,NaN
61137,28,89.4,1,89.4,NaN,89.4,89.4,89.4,NaN,0.0,NaN,NaN,89.4,0.0,NaN,NaN
61741,28,324.76,1,324.76,NaN,324.76,324.76,324.76,NaN,0.0,NaN,NaN,324.76,0.0,NaN,NaN
61939,28,108.94,1,108.94,NaN,108.94,108.94,108.94,NaN,0.0,NaN,NaN,108.94,0.0,NaN,NaN
62088,28,407.35,1,407.35,NaN,407.35,407.35,407.35,NaN,0.0,NaN,NaN,407.35,0.0,NaN,NaN
62497,28,368.2,1,368.2,NaN,368.2,368.2,368.2,NaN,0.0,NaN,NaN,368.2,0.0,NaN,NaN
