txn_id,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
62985,984.85,1,984.85,NaN,984.85,984.85,984.85,NaN,0.0,NaN,NaN,984.85,0.0,NaN,NaN
63087,638.24,1,638.24,NaN,638.24,638.24,638.24,NaN,0.0,NaN,NaN,638.24,0.0,NaN,NaN
63106,529.55,1,529.55,NaN,529.55,529.55,529.55,NaN,0.0,NaN,NaN,529.55,0.0,NaN,NaN
63155,393.34,1,393.34,NaN,393.34,393.34,393.34,NaN,0.0,NaN,NaN,393.34,0.0,NaN,NaN
63271,207.3,1,207.3,NaN,207.3,207.3,207.3,NaN,0.0,NaN,NaN,207.3,0.0,NaN,NaN
63574,94.41,1,94.41,NaN,94.41,94.41,94.41,NaN,0.0,NaN,NaN,94.41,0.0,NaN,NaN
63645,420.43,1,420.43,NaN,420.43,420.43,420.43,NaN,0.0,NaN,NaN,420.43,0.0,NaN,NaN
63964,116.09,1,116.09,NaN,116.09,116.09,116.09,NaN,0.0,NaN,NaN,116.09,0.0,NaN,NaN
64121,816.82,1,816.82,NaN,816.82,816.82,816.82,NaN,0.0,NaN,NaN,816.82,0.0,NaN,NaN
64423,952.65,1,952.65,NaN,952.65,952.65,952.65,NaN,0.0,NaN,NaN,952.65,0.0,NaN,NaN
64519,130.08,1,130.08,NaN,130.08,130.08,130.08,NaN,0.0,NaN,NaN,130.08,0.0,NaN,NaN
64590,532.9,1,532.9,NaN,532.9,532.9,532.9,NaN,0.0,NaN,NaN,532.9,0.0,NaN,NaN
64628,157.76,1,157.76,NaN,157.76,157.76,157.76,NaN,0.0,NaN,NaN,157.76,0.0,NaN,NaN
64822,1109.53,1,1109.53,NaN,1109.53,1109.53,1109.53,NaN,0.0,NaN,NaN,1109.53,0.0,NaN,NaN
64859,976.25,1,976.25,NaN,976.25,976.25,976.25,NaN,0.0,NaN,NaN,976.25,0.0,NaN,NaN
65220,1025.34,1,1025.34,NaN,1025.34,1025.34,1025.34,NaN,0.0,NaN,NaN,1025.34,0.0,NaN,NaN
65241,379.22,1,379.22,NaN,379.22,379.22,379.22,NaN,0.0,NaN,NaN,379.22,0.0,NaN,NaN
65251,135.0,1,135.0,NaN,135.0,135.0,135.0,NaN,0.0,NaN,NaN,135.0,0.0,NaN,NaN
65408,13.0,1,13.0,NaN,13.0,13.0,13.0,NaN,0.0,NaN,NaN,13.0,0.0,NaN,NaN
65478,500.0,1,500.0,NaN,500.0,500.0,500.0,NaN,0.0,NaN,NaN,500.0,0.0,NaN,NaN
65867,365.11,1,365.11,NaN,365.11,365.11,365.11,NaN,0.0,NaN,NaN,365.11,0.0,NaN,NaN
66010,10.08,1,10.08,NaN,10.08,10.08,10.08,NaN,0.0,NaN,NaN,10.08,0.0,NaN,NaN
66166,114.35,1,114.35,NaN,114.35,114.35,114.35,NaN,0.0,NaN,NaN,114.35,0.0,NaN,NaN
66176,219.83,1,219.83,NaN,219.83,219.83,219.83,NaN,0.0,NaN,NaN,219.83,0.0,NaN,NaN
67089,696.72,1,696.72,NaN,696.72,696.72,696.72,NaN,0.0,NaN,NaN,696.72,0.0,NaN,NaN
67294,112.81,1,112.81,NaN,112.81,112.81,112.81,NaN,0.0,NaN,NaN,112.81,0.0,NaN,NaN
67376,135.62,1,135.62,NaN,135.62,135.62,135.62,NaN,0.0,NaN,NaN,135.62,0.0,NaN,NaN
67492,268.76,1,268.76,NaN,268.76,268.76,268.76,NaN,0.0,NaN,NaN,268.76,0.0,NaN,NaN
67753,176.68,1,176.68,NaN,176.68,176.68,176.68,NaN,0.0,NaN,NaN,176.68,0.0,NaN,NaN
67782,385.57,1,385.57,NaN,385.57,385.57,385.57,NaN,0.0,NaN,NaN,385.57,0.0,NaN,NaN
67861,116.81,1,116.81,NaN,116.81,116.81,116.81,NaN,0.0,NaN,NaN,116.81,0.0,NaN,NaN
68098,194.48,1,194.48,NaN,194.48,194.48,194.48,NaN,0.0,NaN,NaN,194.48,0.0,NaN,NaN
68135,501.14,1,501.14,NaN,501.14,501.14,501.14,NaN,0.0,NaN,NaN,501.14,0.0,NaN,NaN
68579,365.1,1,365.1,NaN,365.1,365.1,365.1,NaN,0.0,NaN,NaN,365.1,0.0,NaN,NaN
68610,244.94,1,244.94,NaN,244.94,244.94,244.94,NaN,0.0,NaN,NaN,244.94,0.0,NaN,NaN
69042,132.05,1,132.05,NaN,132.05,132.05,132.05,NaN,0.0,NaN,NaN,132.05,0.0,NaN,NaN
69048,407.38,1,407.38,NaN,407.38,407.38,407.38,NaN,0.0,NaN,NaN,407.38,0.0,NaN,NaN
69352,241.01,1,241.01,NaN,241.01,241.01,241.01,NaN,0.0,NaN,NaN,241.01,0.0,NaN,NaN
69454,307.22,1,307.22,NaN,307.22,307.22,307.22,NaN,0.0,NaN,NaN,307.22,0.0,NaN,NaN
69478,120.71,1,120.71,NaN,120.71,120.71,120.71,NaN,0.0,NaN,NaN,120.71,0.0,NaN,NaN
69637,19150.66,1,19150.66,NaN,19150.66,19150.66,19150.66,NaN,0.0,NaN,NaN,19150.66,0.0,NaN,NaN
70097,435.13,1,435.13,NaN,435.13,435.13,435.13,NaN,0.0,NaN,NaN,435.13,0.0,NaN,NaN
70355,114.94,1,114.94,NaN,114.94,114.94,114.94,NaN,0.0,NaN,NaN,114.94,0.0,NaN,NaN
70863,15.0,1,15.0,NaN,15.0,15.0,15.0,NaN,0.0,NaN,NaN,15.0,0.0,NaN,NaN
71510,2251.94,1,2251.94,NaN,2251.94,2251.94,2251.94,NaN,0.0,NaN,NaN,2251.94,0.0,NaN,NaN
71527,48.3,1,48.3,NaN,48.3,48.3,48.3,NaN,0.0,NaN,NaN,48.3,0.0,NaN,NaN
71995,301.0,1,301.0,NaN,301.0,301.0,301.0,NaN,0.0,NaN,NaN,301.0,0.0,NaN,NaN
72578,326.4,1,326.4,NaN,326.4,326.4,326.4,NaN,0.0,NaN,NaN,326.4,0.0,NaN,NaN
72702,842.5,1,842.5,NaN,842.5,842.5,842.5,NaN,0.0,NaN,NaN,842.5,0.0,NaN,NaN
72758,663.6,1,663.6,NaN,663.6,663.6,663.6,NaN,0.0,NaN,NaN,663.6,0.0,NaN,NaN
72820,570.0,1,570.0,NaN,570.0,570.0,570.0,NaN,0.0,NaN,NaN,570.0,0.0,NaN,NaN
73048,305.5,1,305.5,NaN,305.5,305.5,305.5,NaN,0.0,NaN,NaN,305.5,0.0,NaN,NaN
73091,745.84,1,745.84,NaN,745.84,745.84,745.84,NaN,0.0,NaN,NaN,745.84,0.0,NaN,NaN
73305,524.26,1,524.26,NaN,524.26,524.26,524.26,NaN,0.0,NaN,NaN,524.26,0.0,NaN,NaN
73470,310.32,1,310.32,NaN,310.32,310.32,310.32,NaN,0.0,NaN,NaN,310.32,0.0,NaN,NaN
73683,277.8,1,277.8,NaN,277.8,277.8,277.8,NaN,0.0,NaN,NaN,277.8,0.0,NaN,NaN
73933,307.32,1,307.32,NaN,307.32,307.32,307.32,NaN,0.0,NaN,NaN,307.32,0.0,NaN,NaN
74058,957.97,1,957.97,NaN,957.97,957.97,957.97,NaN,0.0,NaN,NaN,957.97,0.0,NaN,NaN
74166,319.87,1,319.87,NaN,319.87,319.87,319.87,NaN,0.0,NaN,NaN,319.87,0.0,NaN,NaN
74251,356.75,1,356.75,NaN,356.75,356.75,356.75,NaN,0.0,NaN,NaN,356.75,0.0,NaN,NaN
74281,199.8,1,199.8,NaN,199.8,199.8,199.8,NaN,0.0,NaN,NaN,199.8,0.0,NaN,NaN
74757,343.66,1,343.66,NaN,343.66,343.66,343.66,NaN,0.0,NaN,NaN,343.66,0.0,NaN,NaN
74775,228.96,1,228.96,NaN,228.96,228.96,228.96,NaN,0.0,NaN,NaN,228.96,0.0,NaN,NaN
74820,596.22,1,596.22,NaN,596.22,596.22,596.22,NaN,0.0,NaN,NaN,596.22,0.0,NaN,NaN
74836,993.88,1,993.88,NaN,993.88,993.88,993.88,NaN,0.0,NaN,NaN,993.88,0.0,NaN,NaN
74852,97.97,1,97.97,NaN,97.97,97.97,97.97,NaN,0.0,NaN,NaN,97.97,0.0,NaN,NaN
74904,391.78,1,391.78,NaN,391.78,391.78,391.78,NaN,0.0,NaN,NaN,391.78,0.0,NaN,NaN
75039,77.4,1,77.4,NaN,77.4,77.4,77.4,NaN,0.0,NaN,NaN,77.4,0.0,NaN,NaN
75120,932.13,1,932.13,NaN,932.13,932.13,932.13,NaN,0.0,NaN,NaN,932.13,0.0,NaN,NaN
75122,528.6,1,528.6,NaN,528.6,528.6,528.6,NaN,0.0,NaN,NaN,528.6,0.0,NaN,NaN
75149,274.51,1,274.51,NaN,274.51,274.51,274.51,NaN,0.0,NaN,NaN,274.51,0.0,NaN,NaN
75294,193.14,1,193.14,NaN,193.14,193.14,193.14,NaN,0.0,NaN,NaN,193.14,0.0,NaN,NaN
75509,1018.51,1,1018.51,NaN,1018.51,1018.51,1018.51,NaN,0.0,NaN,NaN,1018.51,0.0,NaN,NaN
75614,168.08,1,168.08,NaN,168.08,168.08,168.08,NaN,0.0,NaN,NaN,168.08,0.0,NaN,NaN
75705,350.65,1,350.65,NaN,350.65,350.65,350.65,NaN,0.0,NaN,NaN,350.65,0.0,NaN,NaN
76110,5.93,1,5.93,NaN,5.93,5.93,5.93,NaN,0.0,NaN,NaN,5.93,0.0,NaN,NaN
76143,292.0,1,292.0,NaN,292.0,292.0,292.0,NaN,0.0,NaN,NaN,292.0,0.0,NaN,NaN
76493,341.7,1,341.7,NaN,341.7,341.7,341.7,NaN,0.0,NaN,NaN,341.7,0.0,NaN,NaN
76756,37.8,1,37.8,NaN,37.8,37.8,37.8,NaN,0.0,NaN,NaN,37.8,0.0,NaN,NaN
76885,118.31,1,118.31,NaN,118.31,118.31,118.31,NaN,0.0,NaN,NaN,118.31,0.0,NaN,NaN
77234,185.11,1,185.11,NaN,185.11,185.11,185.11,NaN,0.0,NaN,NaN,185.11,0.0,NaN,NaN
77422,709.79,1,709.79,NaN,709.79,709.79,709.79,NaN,0.0,NaN,NaN,709.79,0.0,NaN,NaN
77803,269.03,1,269.03,NaN,269.03,269.03,269.03,NaN,0.0,NaN,NaN,269.03,0.0,NaN,NaN
78064,204.92,1,204.92,NaN,204.92,204.92,204.92,NaN,0.0,NaN,NaN,204.92,0.0,NaN,NaN
78113,132.45,1,132.45,NaN,132.45,132.45,132.45,NaN,0.0,NaN,NaN,132.45,0.0,NaN,NaN
78120,85.92,1,85.92,NaN,85.92,85.92,85.92,NaN,0.0,NaN,NaN,85.92,0.0,NaN,NaN
78400,466.84,1,466.84,NaN,466.84,466.84,466.84,NaN,0.0,NaN,NaN,466.84,0.0,NaN,NaN
79220,312.9,1,312.9,NaN,312.9,312.9,312.9,NaN,0.0,NaN,NaN,312.9,0.0,NaN,NaN
79361,372.42,1,372.42,NaN,372.42,372.42,372.42,NaN,0.0,NaN,NaN,372.42,0.0,NaN,NaN
