debit_credit,acct_stat_dt_quarter,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
Debit,2,401.04258159432146,4792,17.85,437.9300399976041,8.32,38970.0,0.39,17.364577039183885,1110.836301375709,1110.95222480951,1110.95222480951,1921796.0509999883,1233957.2884540646,1234214.8458092,1234214.8458092
Credit,3,434.33415216975726,5231,350.4,1700.896367622371,9500.0,77183.6,0.38,34.34270328388441,1418.0468921342108,1418.1824541910316,1418.1824541910316,2272001.95,2010856.988291494,2011241.4733752974,2011241.4733752974
Debit,4,471.31720180665,5203,855.86,2240.817806828268,9500.0,168469.6,0.42,43.24707165882094,2935.1109776958006,2935.3930778432823,2935.3930778432823,2452263.401,8614876.451390399,8616532.521450259,8616532.521450259
Credit,1,425.20035241068433,5766,278.73,185.48964521913942,32.53,22775.93,0.0,11.923725416485551,1043.8187479239186,1043.9092746790366,1043.9092746790366,2451705.232000006,1089557.5785174572,1089746.573760912,1089746.573760912
Credit,4,434.9328021874433,5303,139.12,3226.9384066163348,54.75,168469.6,0.39,53.48175396154304,2640.227848630964,2640.4768210346137,2640.4768210346137,2306448.650000012,6970803.09268649,6972117.8424210595,6972117.8424210595
Debit,3,433.2359909929683,4552,22.2,3332.962580845732,23.76,168469.6,0.38,54.340030079179485,2694.185590745735,2694.4815737832387,2694.4815737832387,1972090.2309999918,7258635.997381946,7260230.951457398,7260230.951457398
Debit,1,393.337427751587,4879,139.12,215.7347351588855,54.75,20277.92,0.0,12.14967804547602,839.4105429309105,839.4965789628005,839.4965789628005,1919093.3099999928,704610.059583566,704754.5060902457,704754.5060902457
Credit,2,476.67686468401695,5380,79.6,3248.090329808167,224.69,168469.6,0.55,51.810729943041046,2601.9489535978146,2602.190804130809,2602.190804130809,2564521.5320000113,6770138.357128763,6771396.981102945,6771396.981102945
