debit_credit,acct_last_updated_ts_quarter,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
Credit,1,442.55891900368323,21680,139.12,4451.920519251629,9500.0,168469.6,0.0,58.2812733863661,2039.7271773516266,2039.7742206574978,2039.7742206574978,9594677.363999853,4160486.9580268334,4160678.8712589024,4160678.8712589024
Debit,1,425.47323139092526,19426,139.12,4263.770360590096,9500.0,168469.6,0.0,57.78582081352769,2119.1053023004447,2119.1598474234843,2119.1598474234843,8265242.993000114,4490607.282237859,4490838.458931926,4490838.458931926
