counterparty_country,acct_last_updated_ts_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
ZAF,20,331.4935416666667,48,274.67,1.8139888069942653,23.1,1161.36,7.65,1.2936465669219457,259.6288635123348,262.37633540547574,262.37633540547574,15911.690000000002,67407.14676870657,68841.34138080671,68841.34138080671
USA,18,320.1205882352942,51,118.32,15.742842354907147,224.69,1974.0,2.95,3.2597546532412185,298.88620270973064,301.86026802752133,301.86026802752133,16326.150000000003,89332.96217024219,91119.62141364702,91119.62141364702
FRA,19,332.61829787234035,47,223.48,1.2233713364672179,1.65,1363.2,1.45,1.3304259736451958,327.56779780498096,331.1091742148104,331.1091742148104,15633.059999999998,107300.66215880487,109633.28524921367,109633.28524921367
NLD,5,275.55139534883716,43,689.04,6.85478057446141,1416.0,1416.0,2.93,2.2633209158494956,260.22476281879767,263.30445300867416,263.30445300867416,11848.709999999997,67716.9271840995,69329.23497419711,69329.23497419711
NOR,31,362.5918181818182,11,500.1,-1.0636341936511606,29.75,893.6,6.8,0.27720752395038983,297.7333324796226,312.2653534998138,312.2653534998138,3988.51,88645.1372694215,97509.65099636365,97509.65099636365
AUT,25,318.707659574468,47,427.8,-0.5913245215315825,89.55,879.8,1.65,0.659353646929093,251.83319673869207,254.55579690915604,254.55579690915604,14979.259999999995,63419.95897962879,64798.6537400555,64798.6537400555
ZAF,9,427.79023809523795,42,25.2,26.028416257115605,306.0,5727.0,3.0,4.971023456895396,898.0487479940901,908.9345848165046,908.9345848165046,17967.189999999995,806491.5537737528,826162.0794755516,826162.0794755516
PRT,29,634.3905555555558,36,391.5,29.554282652665513,23.27,11956.1,7.95,5.551789269152513,1935.0695287478902,1962.518694500142,1962.518694500142,22838.06000000001,3744494.081088582,3851479.6262625414,3851479.6262625414
SWE,15,841.952,50,152.05,17.067027661129952,18.24,10174.94,15.0,4.002613878295123,1704.8659043960029,1722.1746314459283,1722.1746314459283,42097.6,2906567.7519720006,2965885.461195919,2965885.461195919
GRC,7,368.7427906976743,43,203.6,21.680071996523605,6.9,3869.18,1.65,4.371120909788391,614.5945901589739,621.8681520965891,621.8681520965891,15855.939999999995,377726.5102526771,386719.99859202653,386719.99859202653
DEU,2,250.9733333333333,63,326.6,3.0250227814721375,1100.44,1100.44,2.55,1.67898497843849,243.34272151491547,245.2973129266447,245.2973129266447,15811.319999999998,59215.68011428571,60170.771729032254,60170.771729032254
TUR,27,373.16508771929824,57,17.4,2.279978722580731,7.25,1535.24,1.9,1.665453731009612,363.8137811646821,367.0477450410564,367.0477450410564,21270.41,132360.4673653432,134724.04713972434,134724.04713972434
IND,5,303.64318840579716,69,167.09,4.147118793402344,48.85,1547.58,4.25,1.7958897050487914,288.46679467559824,290.5801327795056,290.5801327795056,20951.380000000005,83213.09163041374,84436.81356615512,84436.81356615512
CAN,3,322.79312499999986,48,112.6,2.4375301899561057,20.75,1537.2,2.55,1.698709749957306,344.82953613075404,348.47862755158934,348.47862755158934,15494.069999999994,118907.40898815102,121437.35386023934,121437.35386023934
SWE,5,537.1477551020407,49,919.04,35.110158353642,18.75,8142.75,15.0,5.804963771385118,1157.3201325533605,1169.313407619448,1169.313407619448,26320.239999999994,1339389.889213328,1367293.8452386057,1367293.8452386057
GRC,4,1023.3374545454546,55,444.98,19.51121013550204,40.0,16488.0,1.95,4.473819673762264,2835.7093048497936,2861.8454269820104,2861.8454269820104,56283.560000000005,8041247.261611701,8190159.247937844,8190159.247937844
SWE,18,497.10729166666675,48,294.62,36.861691827795035,6.73,7480.06,1.95,6.013050206422315,1055.9286788627103,1067.1028384961553,1067.1028384961553,23861.150000000005,1114985.3748447485,1138708.4679265516,1138708.4679265516
ITA,20,504.31638888888887,36,315.96,11.15699256746201,2.95,4400.28,1.25,3.4882156003566704,941.7533639651826,955.1122349520808,955.1122349520808,18155.39,886899.3985397378,912239.3813551589,912239.3813551589
SWE,30,246.7048,25,29.7,7.2329840379930275,37.3,1374.26,12.5,2.498623030298086,284.4507513664887,290.3163324163259,290.3163324163259,6167.62,80912.22995295997,84283.57286766663,84283.57286766663
ITA,26,367.0300000000001,53,22.2,6.6589283284761756,15.9,1706.88,7.96,2.1399425859525114,297.4329647005624,300.27927801913387,300.27927801913387,19452.590000000004,88466.36849056602,90167.6448076923,90167.6448076923
GRC,5,354.5725000000001,52,204.0,15.364777478742198,15.0,2420.95,2.95,3.281260712163809,373.7315012601087,377.37774859263124,377.37774859263124,18437.770000000004,139675.23503413465,142413.96513284318,142413.96513284318
TUR,20,354.6942857142859,42,304.04,3.973264152379519,7.05,1415.97,7.05,1.8960589841085413,299.20686733065327,302.83374965879244,302.83374965879244,14897.160000000007,89524.74945782314,91708.27993240418,91708.27993240418
ESP,28,313.43950000000024,60,304.04,46.03720835775058,8.5,5162.74,7.9,6.65551687448302,658.516062320996,664.0732584164291,664.0732584164291,18806.370000000014,433643.4043347498,440993.29254381335,440993.29254381335
AUS,21,283.5989473684211,57,22.2,3.095623605566761,18.0,1371.6,3.75,1.4906749624844917,269.36734980179546,271.7617733333751,271.7617733333751,16165.140000000001,72558.76913924284,73854.46144530075,73854.46144530075
JPN,6,278.30492307692316,65,303.97,3.665196043212349,78.15,1292.21,1.45,1.8664887464986761,287.29972474282283,289.535553986483,289.535553986483,18089.820000000007,82541.13183730177,83830.83702225961,83830.83702225961
CAN,30,416.87425,40,98.9,14.380824280935187,66.0,4418.0,3.75,3.832375349739089,821.0804356513664,831.5404807263461,831.5404807263461,16674.97,674173.0818094377,691459.5710866029,691459.5710866029
ESP,13,352.1043859649123,57,183.3,3.7472175516501105,14.85,1790.0,2.95,1.8312503630996801,364.8302981561333,368.0732979167986,368.0732979167986,20069.95,133101.14645269312,135477.95263934837,135477.95263934837
ESP,25,454.5403278688525,61,1919.14,10.215105927431548,8.32,3528.34,5.5,3.0050946001335896,606.8701317063393,611.906484715236,611.906484715236,27726.960000000003,368291.35675726953,374429.54603655735,374429.54603655735
ITA,27,328.12954545454545,44,824.88,24.268102596278254,12.45,3633.58,6.3,4.73606118918573,563.6534044112028,570.169845225473,570.169845225473,14437.7,317705.1603043389,325093.6524044398,325093.6524044398
BRA,3,578.3544155844157,77,98.18,30.32878560482456,7.03,9341.26,1.95,5.18752656040262,1257.1777654963614,1265.4216424539184,1265.4216424539184,44533.290000000015,1580495.9340584246,1601291.9331907723,1601291.9331907723
DEU,31,352.0374999999999,16,172.71,-0.4566447153202109,48.33,957.97,14.65,0.6279837515870953,268.1044172635916,276.89705149507586,276.89705149507586,5632.5999999999985,71879.97855625002,76671.97712666668,76671.97712666668
DEU,18,296.6570731707318,41,326.78,4.2639630285320544,361.59,1476.19,4.63,2.0368712301787704,309.6625715213089,313.5094590378726,313.5094590378726,12162.940000000004,95890.90820118977,98288.18090621951,98288.18090621951
ITA,6,419.2674285714285,35,139.12,21.91420285570713,76.71,4105.94,3.75,4.574118812661664,678.8098944532802,688.720052157038,688.720052157038,14674.359999999999,460782.87280767335,474335.3102431932,474335.3102431932
DEU,7,427.8345454545455,44,855.86,34.51087396191337,9.25,6936.52,9.25,5.873444352025325,1021.2241973873018,1033.0306497005395,1033.0306497005395,18824.72,1042898.8613293387,1067152.3232207187,1067152.3232207187
RUS,27,1131.776470588235,51,471.3,45.62185822229507,5.9,38970.0,5.9,6.885951484485144,5362.064114731332,5415.419300654316,5415.419300654316,57720.59999999999,2.87517315704895E7,2.932676620189929E7,2.932676620189929E7
SWE,17,393.5245238095239,42,172.54,31.507922569461158,5.22,5639.52,2.75,5.5784595533183525,850.3745710181468,860.682517929393,860.682517929393,16528.030000000002,723136.9110342972,740774.39666928,740774.39666928
DEU,24,360.64491525423716,59,244.08,17.188879363454124,495.98,3096.0,2.55,3.8394443996027365,488.38197532423646,492.5741721755104,492.5741721755104,21278.049999999992,238516.95382160312,242629.31509438937,242629.31509438937
IND,29,299.4502631578947,38,82.12,6.238915793093945,12.9,1726.6,4.16,2.322971272413152,342.6865901150315,347.28661594343424,347.28661594343424,11379.109999999999,117434.09904466759,120607.99361344238,120607.99361344238
IND,15,375.3892727272727,55,42.9,26.10818654195542,32.53,4406.61,1.25,4.767932824971321,640.6438541877709,646.5485306606621,646.5485306606621,20646.41,410424.5479085619,418025.0024994612,418025.0024994612
PRT,21,801.6604255319147,47,163.76,16.72638894247753,33.2,10174.94,8.15,3.9834230444407357,1738.6886883106458,1757.4858690655335,1757.4858690655335,37678.03999999999,3023038.3548593945,3088756.5799650336,3088756.5799650336
SWE,11,399.4570731707318,41,566.95,1.2838811237762364,109.54,1579.51,3.2,1.2452370474922696,361.4786055555162,365.96919519437625,365.96919519437625,16377.740000000003,130666.78227436048,133933.45183121949,133933.45183121949
GRC,19,476.888695652174,46,351.3,29.833565204879577,23.55,6207.08,4.95,5.272998816854209,919.6946385210612,929.857318728963,929.857318728963,21936.880000000005,845838.2281243855,864634.6331938163,864634.6331938163
USA,2,374.8857377049182,61,449.98,14.686249185365675,33.0,2764.29,9.95,3.5922793202503946,465.24174532703705,469.10273887660264,469.10273887660264,22868.03000000001,216449.88159494763,220057.37962153007,220057.37962153007
RUS,21,254.9822222222222,45,376.36,4.504475877656695,25.0,1073.37,1.25,1.9274397804234615,221.73886809978274,224.24447156344274,224.24447156344274,11474.199999999999,49168.12562617284,50285.58302676768,50285.58302676768
CHE,24,628.5889473684211,76,1056.63,68.00029096190286,3.95,21535.9,2.95,8.280362254285638,2439.397754902879,2455.6065561717214,2455.6065561717214,47772.76000000001,5950661.406625207,6030003.558713542,6030003.558713542
IND,27,556.0497872340427,47,11.6,34.69798259465342,17.5,10065.0,4.25,5.847350094132723,1466.4854771933826,1482.3398350059967,1482.3398350059967,26134.340000000007,2150579.6548191034,2197331.3864456057,2197331.3864456057
DEU,5,277.84036363636363,55,192.7,3.585142807572624,98.51,1293.18,2.08,1.8100528043774016,277.29991888641666,279.8557325358883,279.8557325358883,15281.22,76895.24501441325,78319.23103319867,78319.23103319867
CHE,2,344.00734177215185,79,315.0,25.17009596039431,3528.34,3528.34,1.65,4.449429557799316,470.8470790768616,473.8557172235103,473.8557172235103,27176.579999999998,221696.97187521233,224539.24074540735,224539.24074540735
MEX,10,290.6483783783785,37,654.96,14.696232174893762,7.03,1909.62,4.95,3.4099070826640565,321.0424308616955,325.47081151356304,325.47081151356304,10753.990000000003,103068.24241358654,105931.24914729729,105931.24914729729
AUT,30,258.81682926829274,41,206.23,0.905015795233143,1.65,815.15,1.65,0.8791319747315053,187.25353550264182,189.57975557056486,189.57975557056486,10611.490000000002,35063.88655823914,35940.48372219512,35940.48372219512
USA,6,302.159827586207,58,111.25,6.8014630882481395,54.75,1687.17,5.83,2.4045704510618626,320.62405818637706,323.42432146873807,323.42432146873807,17525.270000000004,102799.7866879013,104603.29171751361,104603.29171751361
AUT,28,300.674716981132,53,1830.02,7.777823927418851,6.3,2390.4,0.85,2.8559544138139463,492.3981323577986,497.11018357102125,497.11018357102125,15935.759999999997,242455.92074944812,247118.53461001444,247118.53461001444
DEU,12,284.5069387755101,49,429.24,3.1690331022760754,39.8,1304.7,3.0,1.8061880130903556,309.61636489868863,312.82491033459974,312.82491033459974,13940.839999999995,95862.2934130779,97859.42452585035,97859.42452585035
ITA,1,310.9764285714285,42,350.4,5.796128825010422,20.8,1701.5,3.3,2.242126597601492,344.7290824886049,348.9077693898379,348.9077693898379,13061.009999999998,118838.14031343535,121736.63154059231,121736.63154059231
JPN,30,474.55041666666665,24,202.12,2.36607072689151,3.9,2099.7,3.9,1.6942905988610193,519.1006294422368,530.2653611204174,530.2653611204174,11389.21,269465.46348732646,281181.3532041667,281181.3532041667
CAN,11,275.355,48,138.1,-0.07785570191874047,14.85,896.67,2.95,0.8363728306389739,230.8573887074731,233.3003920708783,233.3003920708783,13217.04,53295.13392083333,54429.07294042553,54429.07294042553
DEU,25,270.7172,50,202.12,6.826611160878105,12.45,1415.97,8.5,1.9396499327668983,247.14406111448437,249.65320220576348,249.65320220576348,13535.859999999999,61080.186944159985,62326.721371591826,62326.721371591826
GRC,20,325.8332000000001,50,183.3,10.872138361737878,43.2,2876.85,1.45,3.127704029067066,518.467167880243,523.7309289010057,523.7309289010057,16291.660000000003,268808.20416976005,274294.0858875103,274294.0858875103
ITA,17,218.07000000000002,29,527.85,-0.26931010969192615,12.75,613.98,8.3,0.7005595766581088,165.6821039594011,168.61475825087197,168.61475825087197,6324.030000000001,27450.559572413797,28430.936700000002,28430.936700000002
JPN,1,392.55409090909086,44,358.82,0.917688444637359,9.55,1436.91,9.2,1.2490178844344753,360.921667252543,365.0943106976682,365.0943106976682,17272.379999999997,130264.44989235536,133293.8557038055,133293.8557038055
GRC,11,400.6240740740741,54,177.6,7.418832668253993,17.0,2541.15,3.75,2.473299437901818,462.82408588976676,467.1699472981545,467.1699472981545,21633.7,214206.1344796982,218247.75965856045,218247.75965856045
DNK,24,418.82836734693893,49,326.4,12.661867856386635,26.74,4400.28,2.25,3.6403499792073073,828.5558963996085,837.1421971936899,837.1421971936899,20522.590000000007,686504.8734585588,700807.0583222788,700807.0583222788
DNK,8,442.3777083333334,48,376.3,5.705251420465457,11.95,2582.78,1.65,2.44984667314246,568.9885628362825,575.0097735089437,575.0097735089437,21234.13,323747.9846384982,330636.23963080667,330636.23963080667
NOR,5,377.49000000000007,57,1485.72,11.82497306708374,63.79,2764.29,3.71,3.2131087857131995,478.9031979649464,483.16019899866393,483.16019899866393,21516.930000000004,229348.27302105262,233443.77789642854,233443.77789642854
IND,13,339.7715384615385,52,79.2,15.128473297755665,33.2,2805.28,1.95,3.4629049248508257,451.0225952952511,455.4229199386322,455.4229199386322,17668.120000000003,203421.38146686388,207410.03600542984,207410.03600542984
RUS,9,266.64162162162154,37,272.65,2.6974997272429766,34.65,1181.52,0.38,1.6666902907580021,274.2624385068957,278.04554740299415,278.04554740299415,9865.739999999998,75219.88517574874,77309.32643063065,77309.32643063065
TUR,22,271.5969736842106,76,303.97,17.497439477027356,1.65,1987.62,1.65,3.415436225560391,276.3154400652866,278.15144325358557,278.15144325358557,20641.370000000006,76350.222418473,77368.22538405264,77368.22538405264
JPN,18,308.64097560975614,41,408.0,-0.10220692239482343,8.3,1045.44,0.85,0.9574869788640822,301.05883982715505,304.79884459102595,304.79884459102595,12654.280000000002,90636.42503807259,92902.3356640244,92902.3356640244
CHE,17,431.364074074074,54,225.7,2.6994303664843526,27.25,1919.14,11.75,1.6704791611285699,410.104420192199,413.9552504049269,413.9552504049269,23293.659999999996,168185.6354611797,171358.94933780574,171358.94933780574
USA,12,331.1660000000001,60,136.2,1.5083387173742233,44.78,1468.58,3.4,1.4738265157891384,355.3061798796451,358.3045974255301,358.3045974255301,19869.960000000006,126242.48146066669,128382.1845362712,128382.1845362712
AUS,27,432.6005263157895,57,127.2,7.634677835552152,2210.64,2924.0,2.95,2.727205792777656,578.3711156931543,583.5122933838456,583.5122933838456,24658.230000000003,334513.147468144,340486.5965300752,340486.5965300752
BRA,9,295.727380952381,42,569.03,11.608489476553773,1.7,2210.05,1.66,3.0752829046559698,389.22063760594546,393.93863577515214,393.93863577515214,12420.550000000003,151492.70473837873,155187.64875638796,155187.64875638796
ESP,3,423.84736842105275,57,326.4,18.63347264201053,9.95,5727.0,2.9,4.231420142132834,933.2420450603977,941.5376930481599,941.5376930481599,24159.300000000007,870940.7146685133,886493.227430451,886493.227430451
