counterparty_acct_id,acct_stat_dt_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
6198,29,85.47,1,85.47,NaN,85.47,85.47,85.47,NaN,0.0,NaN,NaN,85.47,0.0,NaN,NaN
6088,13,31.5,1,31.5,NaN,31.5,31.5,31.5,NaN,0.0,NaN,NaN,31.5,0.0,NaN,NaN
5711,18,27.31,1,27.31,NaN,27.31,27.31,27.31,NaN,0.0,NaN,NaN,27.31,0.0,NaN,NaN
4725,20,15.0,1,15.0,NaN,15.0,15.0,15.0,NaN,0.0,NaN,NaN,15.0,0.0,NaN,NaN
5572,5,4.95,1,4.95,NaN,4.95,4.95,4.95,NaN,0.0,NaN,NaN,4.95,0.0,NaN,NaN
5784,4,10.1,1,10.1,NaN,10.1,10.1,10.1,NaN,0.0,NaN,NaN,10.1,0.0,NaN,NaN
5594,22,28.2,1,28.2,NaN,28.2,28.2,28.2,NaN,0.0,NaN,NaN,28.2,0.0,NaN,NaN
6575,29,10.6,1,10.6,NaN,10.6,10.6,10.6,NaN,0.0,NaN,NaN,10.6,0.0,NaN,NaN
4843,8,37.35,1,37.35,NaN,37.35,37.35,37.35,NaN,0.0,NaN,NaN,37.35,0.0,NaN,NaN
4452,16,6.65,1,6.65,NaN,6.65,6.65,6.65,NaN,0.0,NaN,NaN,6.65,0.0,NaN,NaN
4115,6,16.95,1,16.95,NaN,16.95,16.95,16.95,NaN,0.0,NaN,NaN,16.95,0.0,NaN,NaN
5760,3,47.4,1,47.4,NaN,47.4,47.4,47.4,NaN,0.0,NaN,NaN,47.4,0.0,NaN,NaN
6107,6,29.86,1,29.86,NaN,29.86,29.86,29.86,NaN,0.0,NaN,NaN,29.86,0.0,NaN,NaN
4759,7,25.0,1,25.0,NaN,25.0,25.0,25.0,NaN,0.0,NaN,NaN,25.0,0.0,NaN,NaN
4105,5,39.0,1,39.0,NaN,39.0,39.0,39.0,NaN,0.0,NaN,NaN,39.0,0.0,NaN,NaN
6364,15,491.12,1,491.12,NaN,491.12,491.12,491.12,NaN,0.0,NaN,NaN,491.12,0.0,NaN,NaN
5653,8,17.4,1,17.4,NaN,17.4,17.4,17.4,NaN,0.0,NaN,NaN,17.4,0.0,NaN,NaN
5700,21,1056.63,1,1056.63,NaN,1056.63,1056.63,1056.63,NaN,0.0,NaN,NaN,1056.63,0.0,NaN,NaN
5663,21,403.4866666666667,3,135.33,-1.4999999999999993,539.81,539.81,135.33,-0.7068094542529231,189.62425729730768,232.2413366163167,232.2413366163167,1210.46,35957.358955555545,53936.03843333332,53936.03843333332
3317,23,416.275,2,517.65,-2.0,314.9,517.65,314.9,0.0,101.375,143.3658998855725,143.3658998855725,832.55,10276.890625,20553.78125,20553.78125
2916,29,150.335,2,185.97,-2.0,114.7,185.97,114.7,0.0,35.635,50.39550029516524,50.39550029516524,300.67,1269.8532249999998,2539.7064499999997,2539.7064499999997
2830,15,257.22,1,257.22,NaN,257.22,257.22,257.22,NaN,0.0,NaN,NaN,257.22,0.0,NaN,NaN
5496,12,966.62,1,966.62,NaN,966.62,966.62,966.62,NaN,0.0,NaN,NaN,966.62,0.0,NaN,NaN
4127,24,89.45,2,149.5,-2.0000000000000027,29.4,149.5,29.4,-5.376146662655084E-16,60.05,84.92352442050435,84.92352442050435,178.9,3606.0024999999996,7212.004999999999,7212.004999999999
4490,29,1761.26,1,1761.26,NaN,1761.26,1761.26,1761.26,NaN,0.0,NaN,NaN,1761.26,0.0,NaN,NaN
4957,29,29.43,1,29.43,NaN,29.43,29.43,29.43,NaN,0.0,NaN,NaN,29.43,0.0,NaN,NaN
2260,5,383.52,1,383.52,NaN,383.52,383.52,383.52,NaN,0.0,NaN,NaN,383.52,0.0,NaN,NaN
5577,3,729.815,2,344.11,-1.9999999999999978,1115.52,1115.52,344.11,-5.193788997754492E-16,385.705,545.4692420751146,545.4692420751146,1459.63,148768.347025,297536.69405,297536.69405
5985,3,193.15,1,193.15,NaN,193.15,193.15,193.15,NaN,0.0,NaN,NaN,193.15,0.0,NaN,NaN
6176,16,220.71,3,152.45,-1.5,479.8,479.8,29.88,0.4927034958321409,189.9150201186485,232.59744689054523,232.59744689054523,662.13,36067.71486666667,54101.57230000001,54101.57230000001
2403,8,621.9,1,621.9,NaN,621.9,621.9,621.9,NaN,0.0,NaN,NaN,621.9,0.0,NaN,NaN
5838,10,353.795,4,408.29,-0.7131391888926695,442.66,461.25,102.98,-1.0973306695171925,146.04916509518293,168.6430495652479,168.6430495652479,1415.18,21330.358624999997,28440.478166666664,28440.478166666664
6099,12,186.71,2,347.04,-2.0000000000000013,26.38,347.04,26.38,-4.519451685934371E-16,160.33,226.74086045527835,226.74086045527835,373.42,25705.708900000005,51411.41780000001,51411.41780000001
4403,16,594.7,1,594.7,NaN,594.7,594.7,594.7,NaN,0.0,NaN,NaN,594.7,0.0,NaN,NaN
3683,8,181.35,1,181.35,NaN,181.35,181.35,181.35,NaN,0.0,NaN,NaN,181.35,0.0,NaN,NaN
