txn_type,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
ACH,405.19402048346524,15720,204.0,1844.7643069052936,8000.0,77183.6,0.0,35.008531429024025,1270.2113212453216,1270.2517242964075,1270.2517242964075,6369650.002000074,1613436.8006197854,1613539.4430779964,1613539.4430779964
ATM,422.5837563559316,3304,278.73,361.3188883414537,23.76,31698.16,0.0,14.623189276034045,977.3681042780764,977.5160446564728,977.5160446564728,1396216.730999998,955248.4112601208,955537.6175608353,955537.6175608353
WIRE,457.11682021555225,22082,139.12,3249.013741756668,9500.0,168469.6,0.39,52.30931098485373,2596.6705187687253,2596.72931685577,2596.72931685577,1.0094053623999825E7,6742697.783042641,6743003.145018234,6743003.145018234
