counterparty_id,open_dt_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
15132,15,29.5,1,29.5,NaN,29.5,29.5,29.5,NaN,0.0,NaN,NaN,29.5,0.0,NaN,NaN
17469,3,203.405,2,378.9,-2.0000000000000004,27.91,378.9,27.91,-3.4461635377589484E-16,175.49499999999998,248.18740912866627,248.18740912866627,406.81,30798.495024999993,61596.990049999986,61596.990049999986
69958,17,60.995,2,118.24,-2.0000000000000027,3.75,118.24,3.75,-6.20579555459798E-16,57.245,80.95665537804783,80.95665537804783,121.99,3276.9900249999996,6553.980049999999,6553.980049999999
70182,20,115.47,1,115.47,NaN,115.47,115.47,115.47,NaN,0.0,NaN,NaN,115.47,0.0,NaN,NaN
70191,4,345.53,1,345.53,NaN,345.53,345.53,345.53,NaN,0.0,NaN,NaN,345.53,0.0,NaN,NaN
14291,20,19.8,1,19.8,NaN,19.8,19.8,19.8,NaN,0.0,NaN,NaN,19.8,0.0,NaN,NaN
17404,23,1188.0,1,1188.0,NaN,1188.0,1188.0,1188.0,NaN,0.0,NaN,NaN,1188.0,0.0,NaN,NaN
14443,13,3.75,1,3.75,NaN,3.75,3.75,3.75,NaN,0.0,NaN,NaN,3.75,0.0,NaN,NaN
12933,20,1.25,1,1.25,NaN,1.25,1.25,1.25,NaN,0.0,NaN,NaN,1.25,0.0,NaN,NaN
15611,13,15.9,1,15.9,NaN,15.9,15.9,15.9,NaN,0.0,NaN,NaN,15.9,0.0,NaN,NaN
14223,22,15.9,1,15.9,NaN,15.9,15.9,15.9,NaN,0.0,NaN,NaN,15.9,0.0,NaN,NaN
70098,27,1591.2,1,1591.2,NaN,1591.2,1591.2,1591.2,NaN,0.0,NaN,NaN,1591.2,0.0,NaN,NaN
17873,13,94.8,1,94.8,NaN,94.8,94.8,94.8,NaN,0.0,NaN,NaN,94.8,0.0,NaN,NaN
16356,8,1.45,1,1.45,NaN,1.45,1.45,1.45,NaN,0.0,NaN,NaN,1.45,0.0,NaN,NaN
18220,28,7.5,1,7.5,NaN,7.5,7.5,7.5,NaN,0.0,NaN,NaN,7.5,0.0,NaN,NaN
14038,7,5.9,1,5.9,NaN,5.9,5.9,5.9,NaN,0.0,NaN,NaN,5.9,0.0,NaN,NaN
14232,2,0.84,1,0.84,NaN,0.84,0.84,0.84,NaN,0.0,NaN,NaN,0.84,0.0,NaN,NaN
16393,11,20.23,1,20.23,NaN,20.23,20.23,20.23,NaN,0.0,NaN,NaN,20.23,0.0,NaN,NaN
16488,21,6.6,1,6.6,NaN,6.6,6.6,6.6,NaN,0.0,NaN,NaN,6.6,0.0,NaN,NaN
14410,11,225.72,1,225.72,NaN,225.72,225.72,225.72,NaN,0.0,NaN,NaN,225.72,0.0,NaN,NaN
13590,14,5.8,1,5.8,NaN,5.8,5.8,5.8,NaN,0.0,NaN,NaN,5.8,0.0,NaN,NaN
13266,2,2.73,1,2.73,NaN,2.73,2.73,2.73,NaN,0.0,NaN,NaN,2.73,0.0,NaN,NaN
70046,6,19.8,1,19.8,NaN,19.8,19.8,19.8,NaN,0.0,NaN,NaN,19.8,0.0,NaN,NaN
70292,24,24.05,1,24.05,NaN,24.05,24.05,24.05,NaN,0.0,NaN,NaN,24.05,0.0,NaN,NaN
69472,22,4.95,1,4.95,NaN,4.95,4.95,4.95,NaN,0.0,NaN,NaN,4.95,0.0,NaN,NaN
13924,1,16.79,2,23.55,-1.9999999999999978,10.03,23.55,10.03,3.6801887942950513E-16,6.760000000000001,9.560083681642123,9.560083681642123,33.58,45.69760000000001,91.39520000000002,91.39520000000002
14109,8,64.0,1,64.0,NaN,64.0,64.0,64.0,NaN,0.0,NaN,NaN,64.0,0.0,NaN,NaN
